system:time_start,aet
"Oct 1, 2012",2.055
"Nov 1, 2012",3.075
"Dec 1, 2012",3.03
"Jan 1, 2013",1.671
"Feb 1, 2013",0.688
"Mar 1, 2013",3.957
"Apr 1, 2013",3.187
"May 1, 2013",1.985
"Jun 1, 2013",0.917
"Jul 1, 2013",0.887
"Aug 1, 2013",1.147
"Sep 1, 2013",1.057
"Oct 1, 2013",1.087
"Nov 1, 2013",2.642
"Dec 1, 2013",2.434
"Jan 1, 2014",0.766
"Feb 1, 2014",1.103
"Mar 1, 2014",1.937
"Apr 1, 2014",1.915
"May 1, 2014",1.506
"Jun 1, 2014",0.961
"Jul 1, 2014",0.835
"Aug 1, 2014",0.821
"Sep 1, 2014",0.922
"Oct 1, 2014",1.385
"Nov 1, 2014",2.483
"Dec 1, 2014",1.596
"Jan 1, 2015",0.464
"Feb 1, 2015",0.369
"Mar 1, 2015",1.089
"Apr 1, 2015",3.406
"May 1, 2015",1.685
"Jun 1, 2015",0.969
"Jul 1, 2015",0.77
"Aug 1, 2015",0.516
"Sep 1, 2015",1.019
"Oct 1, 2015",1.526
"Nov 1, 2015",3.019
"Dec 1, 2015",2.327
"Jan 1, 2016",1.466
"Feb 1, 2016",1.008
"Mar 1, 2016",1.258
"Apr 1, 2016",3.414
"May 1, 2016",1.67
"Jun 1, 2016",0.974
"Jul 1, 2016",1.033
"Aug 1, 2016",0.863
"Sep 1, 2016",0.585
"Oct 1, 2016",1.025
"Nov 1, 2016",2.969
"Dec 1, 2016",2.973
"Jan 1, 2017",1.082
"Feb 1, 2017",1.134
"Mar 1, 2017",2.038
"Apr 1, 2017",2.709
"May 1, 2017",1.73
"Jun 1, 2017",0.804
"Jul 1, 2017",1.262
"Aug 1, 2017",1.103
"Sep 1, 2017",1.132
"Oct 1, 2017",2.365
"Nov 1, 2017",3.529
"Dec 1, 2017",1.937
"Jan 1, 2018",1.264
"Feb 1, 2018",1.712
"Mar 1, 2018",2.903
"Apr 1, 2018",3.324
"May 1, 2018",2.855
"Jun 1, 2018",1.544
"Jul 1, 2018",1.05
"Aug 1, 2018",1.239
"Sep 1, 2018",1.288
"Oct 1, 2018",1.921
"Nov 1, 2018",1.732
"Dec 1, 2018",2.523
"Jan 1, 2019",0.491
"Feb 1, 2019",0.34
"Mar 1, 2019",0.517
"Apr 1, 2019",2.11
"May 1, 2019",1.327
"Jun 1, 2019",0.896
"Jul 1, 2019",0.623
"Aug 1, 2019",0.606
"Sep 1, 2019",0.689
"Oct 1, 2019",2.838
"Nov 1, 2019",3.295
"Dec 1, 2019",2.262
"Jan 1, 2020",1.88
"Feb 1, 2020",1.313
"Mar 1, 2020",2.601
"Apr 1, 2020",3.764
"May 1, 2020",1.904
"Jun 1, 2020",1.449
"Jul 1, 2020",1.415
"Aug 1, 2020",1.168
"Sep 1, 2020",1.297
"Oct 1, 2020",1.765
"Nov 1, 2020",2.689
"Dec 1, 2020",1.196
"Jan 1, 2021",0.533
"Feb 1, 2021",0.796
"Mar 1, 2021",0.601
"Apr 1, 2021",2.029
"May 1, 2021",1.798
"Jun 1, 2021",0.539
"Jul 1, 2021",0.811
"Aug 1, 2021",0.651
"Sep 1, 2021",0.988
"Oct 1, 2021",0.754
"Nov 1, 2021",1.499
"Dec 1, 2021",1.505
"Jan 1, 2022",0.891
"Feb 1, 2022",0.507
"Mar 1, 2022",0.52
"Apr 1, 2022",2.355
"May 1, 2022",0.91
"Jun 1, 2022",0.54
"Jul 1, 2022",0.569
"Aug 1, 2022",0.814
"Sep 1, 2022",0.87
"Oct 1, 2022",0.597
"Nov 1, 2022",1.676
"Dec 1, 2022",0.997
"Jan 1, 2023",0.288
"Feb 1, 2023",0.142
"Mar 1, 2023",2.453
"Apr 1, 2023",3.697
"May 1, 2023",1.28
"Jun 1, 2023",0.683
"Jul 1, 2023",0.582
"Aug 1, 2023",0.563
"Sep 1, 2023",0.893
"Oct 1, 2023",1.653
"Nov 1, 2023",3.085
